id,X,Y,Z,val,Fx,Fy
CS_start,76.90400563,8.54576648,0,front of cse,610,365
CS_101,76.9040217,8.545684428,0,Conference_Hall,610,430
CS_102,76.90403002,8.545608868,0,Programming_lab,610,510
CS_103,76.90393717,8.545597559,0,Skill_enhancement_lab,585,510
CS_104,76.90383349,8.545585528,0,Network_lab,470,510
CS_105,76.90375809,8.545576777,0,Faculty_room,353,510
CS_106,76.90372069,8.545572437,0,Power_room,260,510
CS_J07,76.90370537,8.54561638,0,_junction,165,510
CS_108,76.90367799,8.545626434,0,Staff_room,165,465
CS_109,76.90367438,8.545652092,0,Faculty_room,165,445
CS_110,76.90367141,8.545673118,0,Faculty_room,165,390
CS_111,76.90366848,8.545693918,0,Faculty_room,165,370
CS_112,76.90366483,8.545719807,0,Faculty_room,165,300
CS_J15,76.90367788,8.54584179,0,_junction,165,200
CS_115,76.90368975,8.545872977,0,classroom,275,200
CS_116,76.90374832,8.54587877,0,classroom,295,200
CS_117,76.90386419,8.545890233,0,Library,575,200
CS_118,76.90399681,8.545910667,0,TBI,595,200
CS_119,76.9040011,8.5458717,0,HOD_Room,600,285
CS_201,76.9040217,8.545684428,1,Seminar hall,590,320
CS_202,76.90403002,8.545608868,1,B.tech(classroom),590,435
CS_203,76.90393717,8.545597559,1,advanced networking lab,590,520
CS_204,76.90383349,8.545585528,1,digital lab,575,520
CS_205,76.90375809,8.545576777,1,lab3(—),460,520
CS_206,76.90372069,8.545572437,1,lab4(—),340,520
CS_2J7,76.90370537,8.54561638,1,_junction,155,520
CS_208,76.90367799,8.545626434,1,Staff room,155,470
CS_209,76.90367438,8.545652092,1,Faculty room,155,460
CS_210,76.90367141,8.545673118,1,Faculty room,155,390
CS_211,76.90366848,8.545693918,1,Faculty room,155,380
CS_212,76.90366483,8.545719807,1,Faculty room,155,320
CS_J25,76.90367788,8.54584179,1,_junction,155,210
CS_214,76.90361402,8.545825856,1,elective classroom,200,210
CS_215,76.90368975,8.545872977,1,elective classroom,260,210
CS_216,76.90374832,8.54587877,1,classroom (b.tech),285,210
CS_217,76.90386419,8.545890233,1,seminar hall,560,210
CS_218,76.9040011,8.5458717,1,classroom (b.tech),580,210
CS_219,76.90399681,8.545910667,1,classroom(m.tech),590,300
CS_301_B,76.90402129,8.545946756,2,classroom(m.tech),690,200
CS_301_A,76.90397404,8.54593353,2,m.tech lab(1),620,230
CS_302,76.90402397,8.54586652,2,faculty room,620,312
CS_303,76.90403913,8.545778348,2,research scholar,620,340
CS_304,76.90404804,8.545644327,2,elective classroom,620,450
CS_305_A,76.9040204,8.545574671,2,m.tech lab(2),620,540
CS_305_B,76.90408103,8.545571144,2,classroom(m.tech),690,570
CS_107,76.90365729,8.545523271,0,Toilet_(Gents),70,510
CS_113,76.90362462,8.545779854,0,Toilet_(ladies),130,220
CS_114,76.90361402,8.545825856,0,Toilet_(Disabled),130,200
CS_207,76.90365729,8.545523271,1,Toilet (Gents),60,520
CS_213,76.90362462,8.545779854,1,Toilet (ladies),118,210
CS_S07,76.90370289,8.545532554,0,Stairs,110,36
CS_S05,76.90364533,8.545868583,0,Stairs,190,680
CS_S17,76.90370289,8.545532554,1,Stairs,110,36
CS_S15,76.90364533,8.545868583,1,Stairs,190,680
CS_S01,76.90394475,8.5457539,0,Stairs,520,360
CS_S11,76.90394475,8.5457539,1,Stairs,520,360
gf_wp,76.90368875,8.545634353,0,Water_Purifier,179.55,492.62
ff_wp,76.90369613,8.545571358,1,Water_Purifier,215.17,559.78
