id, x, y, z, val, fx, fy
EC2_151, 76.90508633, 8.54468696, 0, Computer Lab, 113, 105 
EC2_152, 76.90502231, 8.54460133, 0, Lecture Hall, 113, 160
EC2_J03, 76.90511137, 8.54455319, 0, _junction3, 113, 220 
EC2_153, 76.90512111, 8.54449318, 0, Lecture Hall, 113,225
EC2_T01, 76.90513804, 8.54456477, 0, Toilet, 155, 225 
EC2_154, 76.90519519, 8.54454826, 0, Faculty Room, 235, 225
EC2_155, 76.90522986, 8.54461140, 0, Lecture Hall, 235, 170
EC2_J01, 76.90514413, 8.54466977, 0, _junctionN, 235, 105 
EC2_J02, 76.90517891, 8.54469393, 0, _junctionN2, 303, 105 
EC2_S0N, 76.90515616, 8.54472423, 0, stairs, 303, 75
EC2_S0S, 76.90508592, 8.54453792, 0, stairs, 80, 220 
EC2_251, 76.90508633, 8.54468696, 1, Micro-controller Lab, 113, 105 
EC2_252, 76.90502231, 8.54460133, 1, Lecture Hall, 113, 160 
EC2_J13, 76.90511137, 8.54455319, 1, _junction3, 113, 220 
EC2_253, 76.90512111, 8.54449318, 1, Faculty Room, 113,225
EC2_T11, 76.90513804, 8.54456477, 1, Toilet, 155, 225
EC2_254, 76.90519519, 8.54454826, 1, Faculty Room, 235, 225 
EC2_255, 76.90522986, 8.54461140, 1, Lecture Hall, 235, 170
EC2_J11, 76.90514413, 8.54466977, 1, _junctionN, 235, 105 
EC2_J12, 76.90517891, 8.54469393, 1, _junctionN2, 301, 105 
EC2_S1N, 76.90515616, 8.54472423, 1, stairs, 303, 75 
EC2_S1S, 76.90508592, 8.54453792, 1, stairs, 80, 220 
EC2_351, 76.90508633, 8.54468696, 2, Digital Electronics Lab, 113, 105  
EC2_352, 76.90502231, 8.54460133, 2, Lecture Hall, 113, 160 
EC2_J23, 76.90511137, 8.54455319, 2, _junction3, 113, 220 
EC2_353, 76.90512111, 8.54449318, 2, Faculty Room, 113,225 
EC2_T21, 76.90513804, 8.54456477, 2, Toilet, 155, 225 
EC2_354, 76.90519519, 8.54454826, 2, Faculty Room, 235, 225
EC2_355, 76.90522986, 8.54461140, 2, Lecture Hall, 235, 170 
EC2_J21, 76.90514413, 8.54466977, 2, _junctionN, 235, 105
EC2_J22, 76.90517891, 8.54469393, 2, _junctionN2, 301, 105
EC2_S2N, 76.90515616, 8.54472423, 2, stairs, 303, 75
EC2_S2S, 76.90508592, 8.54453792, 2, stairs, 80, 220 
