id, X, Y, Z, val, 
CA_101, 76.90480184, 8.54615208, 0, Seminar Hall, 
CA_102, 76.90481018, 8.54611814, 0, Lecture Hall S5/S6, 
CA_103, 76.90465217, 8.54608749, 0, Software and Database Lab, 
CA_104, 76.90458266, 8.54616446, 0, Technical Staff room, 
CA_1GT, 76.90466583, 8.54619477, 0, Gents Toilet, 
CA_201, 76.90479515, 8.54623510, 1, HOD , 
CA_202, 76.90482360, 8.54617740, 1, Faculty Room, 
CA_203, 76.90485103, 8.54612818, 1, Faculty Room, 
CA_204, 76.90485103, 8.54612818, 1, Faculty Room, 
CA_2OT, 76.90476146, 8.54609296, 1, Open Terrace, 
CA_205, 76.90462821, 8.54604912, 1, Microprocessor/Project Lab, 
CA_206, 76.90454529, 8.54606860, 1, Lecture Hall S1/S2 , 
CA_207, 76.90452535, 8.54612502, 1, Store, 
CA_208, 76.90455633, 8.54614852, 1, Library, 
CA_209, 76.90461176, 8.54616538, 1, Lecture Hall S3/S4, 
CA_2LT, 76.90466616, 8.54619053, 1, Ladies Toilet, 
MCA_301, 76.90480017, 8.54615635, 2, Classroom, 
MCA_302, 76.90481222, 8.54612481, 2, Classroom, 
DCA_3, 76.90462874, 8.54604950, 2, MTech Lab-2, 
DCA_4, 76.90453297, 8.54609263, 2, MTech Lab-1, 
DCA_4A, 76.90455100, 8.54603662, 2, Staff Room, 
DCA_5, 76.90460158, 8.54616603, 2, MTech Lab, 
MCA_3GT, 76.90466555, 8.54619775, 2, Gents Toilet, 
CA_3J1, 76.90476146, 8.54609296, 2, _junction, 
CA_S00, 76.90475493, 8.54613642, 0, Stairs,
CA_S01, 76.90475378, 8.54611877, 1, Stairs, 
CA_S02, 76.90475378, 8.54611877, 2, Stairs, 
