id , x, y, z, val, fx, fy 
A103,		76.90613055, 8.54575852, 0, Sree Chithirathirunal Centre for Computing - C CUBE, , 
A104,		76.90602181, 8.54566518, 0, Lecture  hall, , 
A105,		76.90597624, 8.54563237, 0, College union office, , 
A106,		76.90592715, 8.54559436, 0, Conference room, , 
A106,		76.90587546, 8.54556159, 0, Guidance Counselling Room, , 
A108,		76.90598394, 8.54542545, 0, Central Computing Facility (CCF), , 
A109,		76.90597108, 8.54529687, 0, Central Computing Facility (CCF), , 
A110,		76.90586504, 8.54522090, 0, CTSE, , 
CGPU_rcp,	76.90576683, 8.54549084, 0, Career Guidance Placement Unit Reception, , 
CGPU_crd,	76.90569933, 8.54543902, 0, Placement Co-ordinator, , 
CGPU_Hll,	76.90570172, 8.54556853, 0, Career Guidance Placement Unit Hall, , 
ATM,		76.90615672, 8.54584140, 0, ATM, , 
A1_GT0,		76.90622410, 8.54569330, 0, Gent's toilet, , 
pro,		76.90630349, 8.54567726, 0, P.R.O, , 
srgnt,		76.90638587, 8.54573727, 0, Sergeant room, , 
jntr,		76.90637924, 8.54580691, 0, Janitor's room, , 
db_rm,		76.90640028, 8.54582542, 0, DB room, , 
A116A,		76.90628238, 8.54591119, 0, Parent Teacher Association (PTA) office, , 
A116B,		76.90632450, 8.54586448, 0, Internal Quality Assurance Cell (IQAC), , 
A117,		76.90640968, 8.54596054, 0, Mechanical seminar hall, , 
A118,		76.90650171, 8.54602832, 0, Fluid dynamics lab, , 
A119,		76.90655824, 8.54606934, 0, Hostel office, , 
medical,	76.90661871, 8.54611293, 0, NSS IPRC Doctor, , 
Chem_staff,	76.90674039, 8.54598825, 0, Dept. of Chemistry staff room, , 
Chem_HOD,	76.90676007, 8.54592572, 0, Department of Chemistry HOD room, , 
store,		76.90679556, 8.54588691, 0, store, , 
A123,		76.90685444, 8.54598145, 0, Chemistry lab, , 
A124,		76.90691008, 8.54613337, 0, Staff club/Blood donation, , 
treasury,	76.90694223, 8.54606144, 0, Treasury, , 
A201,		76.90632032, 8.54586189, 1, C/A TO Principal, , 
A201B,		76.90619891, 8.54578381, 1, Conference room, , 
A2_AA,		76.90627451, 8.5459203,  1, AA's office, , 
A2_Prncpl,	76.90622399, 8.54586155, 1, Principal's office, , 
A2_wait,	76.90626736, 8.54580642, 1, Waiting room (Principal's office), , 
A2_GT,		76.90639416, 8.54580908, 1, Gent's toilet, , 
A2_LT,		76.90623464, 8.54568365, 1, Ladies toilet, , 
A202,		76.90613367, 8.54574398, 1, KTU valuation camp, , 
A203,		76.90606676, 8.54570005, 1, Record room, , 
A204,		76.90599897, 8.54564384, 1, Innovation center, , 
A205,		76.90593615, 8.54559415, 1, CET-TBI Incubation space, , 
A206,		76.90587672, 8.54556249, 1, CET-TBI, , 
A207,		76.90568997, 8.54542490, 1, Staff room, , 
A2_s2,		76.90594678, 8.54541299, 1, Staff room, , 
A209,		76.90600280, 8.54541927, 1, PG Dean, , 
A210,		76.90604695, 8.54535840, 1, Room, , 
A211,		76.90607969, 8.54531890, 1, Technical officer, , 
A212,		76.90596930, 8.54530552, 1, CCIR, , 
A213,		76.90591066, 8.54526811, 1, Office of deans, , 
A214,		76.90585031, 8.54521923, 1, Conference room, , 
A215,		76.90579709, 8.54527768, 1, UG Dean, , 
A216,		76.90639238, 8.54594759, 1, Main office, , 
A217,		76.90647336, 8.54600783, 1, ITC & SR CCE, , 
A218,		76.90653613, 8.54604768, 1, Office of evening degree courses, , 
A219,		76.90659562, 8.54609000, 1, University examination cell, , 
A220,		76.90664434, 8.54612205, 1, Exam store, , 
A221,		76.90679816, 8.54625701, 1, Staff room, , 
A222,		76.90673255, 8.54597787, 1, Mechanical HOD Staff room, , 
A223,		76.90677590, 8.54591865, 1, Room, , 
A224,		76.90679881, 8.54588986, 1, Staff amenity, , 
A_PhyLab,	76.90685613, 8.54599284, 1, Physics lab, , 
A_PhyStff,	76.90691230, 8.54603190, 1, Staff room, , 
A_PhyStr,	76.90695942, 8.54607018, 1, Store, , 
A_PhyHOD,	76.90690822, 8.54613241, 1, Physics HOD Staff room, , 
A301,		76.9062402,  8.5458739,  2, Classroom, , 
A3_GT,		76.90623862, 8.54569879, 2, Gent's toilet, , 
A303,		76.90619512, 8.54579485, 2, Classroom, , 
A304,		76.90613423, 8.54574685, 2, Classroom, , 
A305,		76.90606728, 8.54569939, 2, Classroom, , 
A306,		76.90600688, 8.54565038, 2, Classroom, , 
A307,		76.90594246, 8.54560290, 2, Classroom, , 
