id , x, y, z, val, fx, fy
A110,		76.90586504, 8.54522090, 0, CTSE, 0, 0
A109,		76.90597108, 8.54529687, 0, Central Computing Facility (CCF), 0, 0
A108,		76.90598394, 8.54542545, 0, Central Computing Facility (CCF), 0, 0
A1S3, 		76.90590388, 8.54549897, 0, Stairs S, 0, 0
A107,		76.90587546, 8.54556159, 0, Guidance Counselling Room, 0, 0
A106,		76.90592715, 8.54559436, 0, Conference room, 0, 0
A105,		76.90597624, 8.54563237, 0, College union office, 0, 0
A104,		76.90602181, 8.54566518, 0, Lecture  hall, 0, 0
A103,		76.90613055, 8.54575852, 0, Sree Chithirathirunal Centre for Computing - C CUBE, 0, 0
A1_GT0,		76.90622410, 8.54569330, 0, Gents toilet, 0, 0
pro,		76.90630349, 8.54567726, 0, P.R.O, 0, 0
A1S2, 		76.90628682, 8.54578111, 0, Center stair, 0, 0
srgnt,		76.90638587, 8.54573727, 0, Sergeant room, 0, 0
jntr,		76.90637924, 8.54580691, 0, Janitors room, 0, 0
A116B,		76.90632450, 8.54586448, 0, Internal Quality Assurance Cell (IQAC), 0, 0
db_rm,		76.90640028, 8.54582542, 0, DB room, 0, 0
A117,		76.90640968, 8.54596054, 0, Mechanical seminar hall, 0, 0
A118,		76.90650171, 8.54602832, 0, Fluid dynamics lab, 0, 0
A119,		76.90655824, 8.54606934, 0, Hostel office, 0, 0
medical,	76.90661871, 8.54611293, 0, NSS IPRC Doctor, 0, 0
cetaa, 		76.90670571, 8.54625746, 0, CET Alumni Association (CETAA) Hall, 0, 0
A1S1, 		76.90669821, 8.54608508, 0, Stairs N,0, 0
Chem_staff,	76.90674039, 8.54598825, 0, Dept. of Chemistry staff room, 0, 0
A123,		76.90685444, 8.54598145, 0, Chemistry lab, 0, 0
A124,		76.90691008, 8.54613337, 0, Staff club/Blood donation, 0, 0
CGPU_Hll,	76.90570172, 8.54556853, 0, Career Guidance Placement Unit Hall, 0, 0
CGPU_crd,	76.90569933, 8.54543902, 0, Placement Co-ordinator, 0, 0
CGPU_rcp,	76.90576683, 8.54549084, 0, Career Guidance Placement Unit Reception, 0, 0
A116A,		76.90628238, 8.54591119, 0, Parent Teacher Association (PTA) office, 0, 0
ATM,		76.90615672, 8.54584140, 0, ATM, 0, 0
Chem_HOD,	76.90676007, 8.54592572, 0, Department of Chemistry HOD room, 0, 0
store,		76.90679556, 8.54588691, 0, store, 0, 0
A215,		76.90579709, 8.54527768, 1, UG Dean, 0, 0
A214,		76.90585031, 8.54521923, 1, Conference room, 0, 0
A213,		76.90591066, 8.54526811, 1, Office of Deans, 0, 0
