id, x, y, z, val, fx, fy
ME1_101, 76.9068902,  8.5458233,  0, Computer intergrated manufacturing lab, 0, 0
ME1_J0W, 76.90696958, 8.54581402, 0, _junction, 0, 0
ME1_102, 76.90694269, 8.54575972, 0, Machine Dynamics Lab, 0, 0
ME1_J0S, 76.90701908, 8.54574246, 0, _junction, 0, 0
ME1_S0S, 76.90704193, 8.54575759, 0, stairs, 0, 0
ME1_105, 76.90712576, 8.545809,   0, Staff Room, 0, 0
ME1_J0E, 76.90715310, 8.54585004, 0, _junction, 0, 0
ME1_106, 76.90716828, 8.54591312, 0, Software LAB, 0, 0
ME1_J0N, 76.90710197, 8.54591126, 0, _junction, 0, 0
ME1_S0N, 76.90707835, 8.54589692, 0, stairs, 0, 0
ME1_104, 76.90700302, 8.54590438, 0, CNC LAB, 0, 0
ME1_103, 76.90699713, 8.54568499, 0, Tribology Research Lab, 0, 0
ME1_w1,	 76.90708198, 8.54577417, 0, Staff Washroom, 0, 0
ME1_201, 76.90691284, 8.54583015, 1, Mechanical engineering seminar hall - 2, 0, 0
ME1_J1W, 76.90696958, 8.54581402, 1, _junction, 0, 0
ME1_202, 76.90695725, 8.54575149, 1, Mechanical engineering seminar hall - 1, 0, 0
ME1_J1S, 76.90701908, 8.54574246, 1, _junction, 0, 0
ME1_S1S, 76.90704193, 8.54575759, 1, stairs, 0, 0
ME1_204, 76.90709301, 8.54577949, 1, Staff Room, 0, 0
ME1_205, 76.90712993, 8.5458024,  1, Staff Room, 0, 0
ME1_206, 76.90715364, 8.54582379, 1, Staff Room, 0, 0
ME1_J1E, 76.90715310, 8.54585004, 1, _junction, 0, 0
ME1_209, 76.90716927, 8.54590913, 1, Staff Room, 0, 0
ME1_J1N, 76.90710197, 8.54591126, 1, _junction, 0, 0
ME1_S1N, 76.90707835, 8.54589692, 1, stairs, 0, 0
ME1_w2,	 76.90704734, 8.54592805, 1, Washroom, 0, 0
ME1_211, 76.90702166, 8.54591225, 1, Staff Room, 0, 0
ME1_212, 76.90699797, 8.54589365, 1, Staff Room, 0, 0
ME1_213, 76.90697467, 8.54587465, 1, Staff Room, 0, 0
ME1_203, 76.90703134, 8.54568661, 1, Staff Room, 0, 0
ME1_207, 76.90720819, 8.54585319, 1, Staff Room, 0, 0
ME1_208, 76.90723168, 8.54583038, 1, Staff Room, 0, 0
ME1_210, 76.90711322, 8.54598268, 1, Staff Room, 0, 0
ME1_301, 76.90691002, 8.54582579, 2, S5/S6 M1 Lecture Hall, 0, 0
ME1_J2W, 76.90696958, 8.54581402, 2, _junction, 0, 0
ME1_302, 76.90696288, 8.54575664, 2, S5/S6 M3 Lecture Hall, 0, 0
ME1_J2S, 76.90701908, 8.54574246, 2, _junction, 0, 0
ME1_S2S, 76.90704193, 8.54575759, 2, stairs, 0, 0
ME1_304, 76.90710299, 8.54577506, 2, Optical Microscopy, 0, 0
ME1_305, 76.90714521, 8.54581826, 2, Model Room, 0, 0
ME1_J2E, 76.90715310, 8.54585004, 2, _junction, 0, 0
ME1_306, 76.9072058,  8.54585539, 2, Department Library, 0, 0
ME1_str, 76.90714661, 8.54593851, 2, Store, 0, 0
ME1_J2N, 76.90710197, 8.54591126, 2, _junction, 0, 0
ME1_S2N, 76.90707835, 8.54589692, 2, stairs, 0, 0
ME1_w3,	 76.90704337, 8.54593265, 2, Washroom, 0, 0
ME1_308, 76.90702327, 8.54591363, 2, Staff Room, 0, 0
ME1_309, 76.90698233, 8.54588716, 2, Energy Research Lab 2, 0, 0
ME1_303, 76.90703421, 8.54570014, 2, Energy Research Lab 1, 0, 0
ME1_307, 76.9071044,  8.54597775, 2, S5/S6 M2 Lecture Hall, 0, 0
ME1_Start,76.90688116,8.54588614,0,start,77,3
